sample;condition;replicate;end
DC003_isq;control_0_1;isq;pe
DC004_isq;control_0_2;isq;pe
DC005_isq;control_0_3;isq;pe
DC006_isq;control_0_4;isq;pe
DC007_isq;citro_10_1;isq;pe
DC008_isq;citro_10_2;isq;pe
DC009_isq;control_10_1;isq;pe
DC010_isq;control_10_2;isq;pe
DC011_isq;citro_10_3;isq;pe
DC012_isq;citro_10_4;isq;pe
DC013_isq;citro_20_1;isq;pe
DC014_isq;citro_20_2;isq;pe
DC015_isq;control_20_1;isq;pe
DC016_isq;control_20_2;isq;pe
DC017_isq;citro_20_3;isq;pe
DC018_isq;citro_20_4;isq;pe
DC003_nxq;control_0_1;nxq;se
DC004_nxq;control_0_2;nxq;se
DC005_nxq;control_0_3;nxq;se
DC006_nxq;control_0_4;nxq;se
DC007_nxq;citro_10_1;nxq;se
DC008_nxq;citro_10_2;nxq;se
DC009_nxq;control_10_1;nxq;se
DC010_nxq;control_10_2;nxq;se
DC011_nxq;citro_10_3;nxq;se
DC012_nxq;citro_10_4;nxq;se
DC013_nxq;citro_20_1;nxq;se
DC014_nxq;citro_20_2;nxq;se
DC015_nxq;control_20_1;nxq;se
DC016_nxq;control_20_2;nxq;se
DC017_nxq;citro_20_3;nxq;se
DC018_nxq;citro_20_4;nxq;se
DC003_mgi;control_0_1;mgi;pe
DC004_mgi;control_0_2;mgi;pe
DC005_mgi;control_0_3;mgi;pe
DC006_mgi;control_0_4;mgi;pe
DC007_mgi;citro_10_1;mgi;pe
DC008_mgi;citro_10_2;mgi;pe
DC009_mgi;control_10_1;mgi;pe
DC010_mgi;control_10_2;mgi;pe
DC011_mgi;citro_10_3;mgi;pe
DC012_mgi;citro_10_4;mgi;pe
DC013_mgi;citro_20_1;mgi;pe
DC014_mgi;citro_20_2;mgi;pe
DC015_mgi;control_20_1;mgi;pe
DC016_mgi;control_20_2;mgi;pe
DC017_mgi;citro_20_3;mgi;pe
DC018_mgi;citro_20_4;mgi;pe
DC024_nxq;control_0_5;nxq;pe
DC025_nxq;control_0_6;nxq;pe
